A1	0	 4,00 	
A2	0	 4,00 	
A6	1	 12,00 	
A7	1	 12,00 	
A8	1	 12,00 	
A9	1	 12,00 	
A13	0	 4,00 	
A14	0	 4,00 	
B1	0	 4,00 	
B2	0	 4,00 	
B3	0	 4,00 	
B4	0	 4,00 	
B5	0	 4,00 	
B6	0	 4,00 	
B7	0	 4,00 	
B8	0	 4,00 	
B9	0	 4,00 	
B10	0	 4,00 	
B11	0	 4,00 	
B12	0	 4,00 	
B13	0	 4,00 	
B14	0	 4,00 	
C1	0	 4,00 	
C2	0	 4,00 	
C3	0	 4,00 	
C4	0	 4,00 	
C5	0	 4,00 	
C6	0	 4,00 	
C7	0	 4,00 	
C8	0	 4,00 	
C9	0	 4,00 	
C10	0	 4,00 	
C11	0	 4,00 	
C12	0	 4,00 	
C13	0	 4,00 	
C14	0	 4,00 	
D1	0	 4,00 	
D2	0	 4,00 	
D3	0	 4,00 	
D4	0	 4,00 	
D5	0	 4,00 	
D6	0	 4,00 	
D7	0	 4,00 	
D8	0	 4,00 	
D9	0	 4,00 	
D10	0	 4,00 	
D11	0	 4,00 	
D12	0	 4,00 	
D13	0	 4,00 	
D14	0	 4,00 	
E1	0	 4,00 	
E2	0	 4,00 	
E3	0	 4,00 	
E4	0	 4,00 	
E5	0	 4,00 	
E6	0	 4,00 	
E7	0	 4,00 	
E8	0	 4,00 	
E9	0	 4,00 	
E10	0	 4,00 	
E11	0	 4,00 	
E12	0	 4,00 	
E13	0	 4,00 	
E14	0	 4,00 	
F1	0	 4,00 	
F2	0	 4,00 	
F6	1	 12,00 	
F7	1	 12,00 	
F8	1	 12,00 	
F9	1	 12,00 	
F13	0	 4,00 	
F14	0	 4,00 	
G1	0	 4,00 	
G2	0	 4,00 	
G3	0	 4,00 	
G4	0	 4,00 	
G5	0	 4,00 	
G6	0	 4,00 	
G7	0	 4,00 	
G8	0	 4,00 	
G9	0	 4,00 	
G10	0	 4,00 	
G11	0	 4,00 	
G12	0	 4,00 	
G13	0	 4,00 	
G14	0	 4,00 	
H1	0	 4,00 	
H2	0	 4,00 	
H3	0	 4,00 	
H4	0	 4,00 	
H5	0	 4,00 	
H6	0	 4,00 	
H7	0	 4,00 	
H8	0	 4,00 	
H9	0	 4,00 	
H10	0	 4,00 	
H11	0	 4,00 	
H12	0	 4,00 	
H13	0	 4,00 	
H14	0	 4,00 	
I1	0	 4,00 	
I2	0	 4,00 	
I3	0	 4,00 	
I4	0	 4,00 	
I5	0	 4,00 	
I6	0	 4,00 	
I7	0	 4,00 	
I8	0	 4,00 	
I9	0	 4,00 	
I10	0	 4,00 	
I11	0	 4,00 	
I12	0	 4,00 	
I13	0	 4,00 	
I14	0	 4,00 	
J1	0	 4,00 	
J2	0	 4,00 	
J3	0	 4,00 	
J4	0	 4,00 	
J5	0	 4,00 	
J6	0	 4,00 	
J7	0	 4,00 	
J8	0	 4,00 	
J9	0	 4,00 	
J10	0	 4,00 	
J11	0	 4,00 	
J12	0	 4,00 	
J13	0	 4,00 	
J14	0	 4,00 	
K1	0	 4,00 	
K2	0	 4,00 	
K3	0	 4,00 	
K4	0	 4,00 	
K5	0	 4,00 	
K6	0	 4,00 	
K7	0	 4,00 	
K8	0	 4,00 	
K9	0	 4,00 	
K10	0	 4,00 	
K11	0	 4,00 	
K12	0	 4,00 	
K13	0	 4,00 	
K14	0	 4,00 	
